0.027592166	1.00484564	0.002
0.055219675	1.009658278	0.003
0.096727956	1.016815398	0.004
0.152199378	1.026242912	0.005
0.221747266	1.037842222	0.006
0.305519186	1.051490382	0.007
0.403701292	1.067040269	0.008
0.516523892	1.08432076	0.009
0.644268425	1.103136892	0.01
0.787276107	1.12326996	0.011
0.945958593	1.144477536	0.012
1.120811085	1.166493344	0.013
1.312428484	1.189026927	0.014
1.521525327	1.211763042	0.015
1.74896055	1.234360641	0.016
1.995768429	1.256451335	0.017
2.263197566	1.277637123	0.018
2.552760482	1.297487145	0.019
2.866297393	1.315533109	0.02
3.206059269	1.3312629	0.021
3.574817508	1.344111677	0.022
3.976011064	1.353449446	0.023
4.413947322	1.358563585	0.024
4.894081865	1.358634004	0.025
5.423416937	1.352697262	0.026
6.011083698	1.339593659	0.027
6.66921837	1.317887161	0.028
7.414326362	1.285740325	0.029
8.269492921	1.240711211	0.03
9.268140733	1.179407766	0.031
10.46079711	1.096864805	0.032
11.9281842	0.985337738	0.033
13.80894016	0.831745446	0.034
16.36569796	0.611568201	0.035
20.17009095	0.271744945	0.036
26.75515312	-0.32969345	0.037
